STAR,PRICE PER NIGHT,RESTAURANT,FREE BREAK FAST,PIZZA,BURGER,TABLETENNIS,HORSEBACKRIDING,BICYCLERIDING,BOARDGAMES,SWIMMINGPOOL,FREECANCELLATION,FREEWIFI,GYM,PLAYSTATION,CCTV_CAMERA,CHILDRENACTIVITIES,FREETAXISERVICE,ATM_ON_SITE,LAUNDRYSERVICE,PARKINGLOT,TELEVISION,DOUBLEBED,TWINBED,AIRCONDITIONING,BATHROOM,TELEPHONE,REFRIGERATOR,SHOWERCHAIR,CITY,OUTPUT
5,"11,400",1,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,Addis Ababa,Capital Hotel And Spa
5,"12,990",1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Addis Ababa,Sheraton Addis Hotel
5,"12,996",1,1,0,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,Addis Ababa,Hilton Hotel
5,"12,450",1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,Addis Ababa,Radisson Hotel
5,"7,600",1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Addis Ababa,Ethiopian Skylight 
5,"10,300",1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,Addis Ababa,Hyatt Hotel
4,"3,306",1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,Addis Ababa,Heyday Hotel
4,"9,082",1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,Addis Ababa,Intercontenantal Hotel
4,"1,300",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,0,0,0,Jimma,Awetu Grand Hotel
3,"1,800",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,Jimma,Boni International Hotel
4,"1,200",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Jimma,Hotel Dololo
2,"1,450",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,Jimma,Honeyland Hotel
3,"1,235",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,Jimma,Coffe Land Hotel
2,"1,000",1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,Ambo,Abebech Metafaria Hotel
4,"1,400",1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,0,0,Shashamane,Haile Hotel
4,1300,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,0,0,0,Shashamane,Shashemene Rift Valley Hotel
4,"1,035",1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,0,0,0,Shashamane,Zion Train Lodge
5,"3,598",1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,Hawassa,Haile  Resort Hawasa
4,"2,193",1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,Hawassa,South Star International Hotel
3,"1,989",1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,Hawassa,United Africa Group
4,"2,141",1,1,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,0,0,0,Hawassa,Hawassa Oasis International Hotel
2,"1,632",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,Hawassa,Central Hawassa Hotel
