Attraction,Location,Location_subcategory,Latitude,Longitude,Attraction_subcategory,Description,Activities,Offer_price,Offer_primary_category,Ranking_position,Ranking_string,Rating,Raw_ranking,Attraction_subtype,Image_url,Website
The Ruins of Aksum,Axum,City,14.131718,38.719166,History,The remains of once powerful royal capital contain impressive tombs and stelae.,Day Trip in Axum to discover the remains of once powerful royal capital contain impressive tombs and stelae Ruins of Aksum,$102.57,Historical & Heritage Tours,1,#1 of 15 things to do in Axum,4,3.706293344,Ancient Ruins,https://media.tacdn.com/media/attractions-splice-spp-360x240/09/32/dd/03.jpg,http://whc.unesco.org/en/list/15/
Harar Jegol Wall,Harar,City,,,Sights & Landmarks,"We have great experience and well aware of the City and Tourism, we give appropriate treatments to our travelers starting from Airport shuttle. We know how important your tour is and we will take care of all the little things, so you don’t have to. Our itineraries are well researched and are rich in an amazing cultural experiences, breathtaking scenery, historical sites, and off-the-beaten-track places. We ensure your full enjoyment by offering exciting opportunities including spontaneity and flexibility, for exploring, shopping and time for reflection. We encourage you to engage with the places you visit and with the people you encounter along the way who will bring your experience to life. Our private tour allow us to go to places larger groups are unable to.",Lalibela Omo Valley and Harrar tour to see Harar Jegol Wall,"$1,523.08",Historical & Heritage Tours,1,#1 of 13 things to do in Harar,4.5,3.968732595,Points of Interest & Landmarks,https://media.tacdn.com/media/attractions-splice-spp-360x240/0a/3c/7b/a8.jpg,
Yemrehana Krestos Church,Lalibela,City,12.139831,39.072224,History,"The church of Yemrehanna Kristos is one of Ethiopia's best-preserved late Axumite churches, and is named for a twelfth-century Zagwe priest-king and saint. The church is located inside a large natural cavern on a hill in northern Ethiopia, set in a spectacular landscape of juniper trees, predating the famous nearby rock-hewn churches of Lalibela by almost a century.",Visit The church of Yemrehanna Kristos is one of Ethiopias best preserved late Axumite churches,$795.39,Cultural Tours,3,#3 of 18 things to do in Lalibela,4.5,3.919257402,Points of Interest & Landmarks,https://media.tacdn.com/media/attractions-splice-spp-360x240/07/b2/f8/34.jpg,
Church of St. George,Lalibela,City,12.031388,39.05382,Sights & Landmarks,"the church of st George is a brilliant feats of engineering and architecture and are often referred as the ""Eighth wonder of the world"".",Lalibela Rock Churches Guided Tour,$249.80,Historical & Heritage Tours,1,#1 of 18 things to do in Lalibela,5,4.316743374,Historic Sites,https://media.tacdn.com/media/attractions-splice-spp-360x240/06/88/c8/9b.jpg,http://www.tours-ethiopia.com
Holy Trinity Cathedral,Addis Ababa,City,9.03079,38.766277,Sights & Landmarks,,Explore the Danakil Depression in 6 Days,"$4,295.27",Air Tours,3,#3 of 75 things to do in Addis Ababa,4,3.692972422,Sacred & Religious Sites,https://media.tacdn.com/media/attractions-splice-spp-360x240/0a/03/20/ec.jpg,http://www.htc.org.et/e/
Gheralta Rock,Mekele,City,,,Nature & Wildlife,,Two Days Tour of Gheralta Rock,$410.26,Cultural Tours,1,#1 of 6 things to do in Mek'ele,4.5,3.891206026,Mountains,https://media.tacdn.com/media/attractions-splice-spp-360x240/07/b2/18/b9.jpg,
Red Terror Martyrs Memorial Museum,Addis Ababa,City,9.010278,38.763233,History,,Discover Red Terror Martyrs Memorial Museum,$50.00,Cultural Tours,1,#1 of 75 things to do in Addis Ababa,4.5,3.824833393,Specialty Museums,https://media.tacdn.com/media/attractions-splice-spp-360x240/0b/1f/ea/f0.jpg,https://www.cipdh.gob.ar/memorias-situadas/en/lugar-de-memoria/museo-memorial-de-los-martires-del-terror-rojo/
Lake Tana,Bahirdar,City,11.684802,37.34086,Nature & Wildlife,,Bahir Dar Tour of Lake Tana,$220.00,Cultural Tours,1,#1 of 10 things to do in Bahir Dar,4.5,3.885291815,Bodies of Water,https://media.tacdn.com/media/attractions-splice-spp-360x240/07/3a/db/ed.jpg,
Mount Entoto,Addis Ababa,City,9.089636,38.763344,Nature & Wildlife,,Mount Entoto Full Day Tour with Hotel Pickup and Dropoff,$80.00,Bus & Minivan Tours,2,#2 of 75 things to do in Addis Ababa,4,3.740764618,Mountains,https://media.tacdn.com/media/attractions-splice-spp-360x240/06/96/82/24.jpg,
Adadi Maryam,Addis Ababa,City,,,Sights & Landmarks,,Day trip to Adadi Mariyam and Melka kunture,$66.67,Historical & Heritage Tours,10,#10 of 75 things to do in Addis Ababa,4,3.17941165,Historic Sites,https://media.tacdn.com/media/attractions-splice-spp-360x240/08/e4/ba/d2.jpg,http://getahunannika.wixsite.com/getahuntours
