Hotel,Location,Star,Price Per Night,Restaurant,Free Breakfast,Pizza,Burger,Table Tennis,Horseback Riding,Bicycle Riding,Board Games,Swimming Pool,Free Cancellation,Free Wifi,Gym,Playstation,Cctv camera,Children activities,Freetaxiservice,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone,Refrigerator,Showerchair,Amenities
Capital Hotel And Spa,Addis Ababa,5,"$11,400.00",Restaurant,Free Breakfast, , , , , , ,Swimming Pool, ,Free Wifi,Gym, ,Cctv camera, ,Freetaxiservice, ,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom, ,Refrigerator, ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  , Swimming Pool,  , Free Wifi, Gym,  , Cctv camera,  , Freetaxiservice,  , Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom,  , Refrigerator,  "
Sheraton Addis Hotel,Addis Ababa,5,"$12,990.00",Restaurant,Free Breakfast,Pizza,Burger, , ,Bicycle Riding,Board Games,Swimming Pool, ,Free Wifi, , ,Cctv camera,Children activities,Freetaxiservice,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone,Refrigerator,Showerchair,"Restaurant, Free Breakfast, Pizza, Burger,  ,  , Bicycle Riding, Board Games, Swimming Pool,  , Free Wifi,  ,  , Cctv camera, Children activities, Freetaxiservice, Atm onsite, Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom, Telephone, Refrigerator, Showerchair"
Hilton Hotel,Addis Ababa,5,"$12,996.00",Restaurant,Free Breakfast, , ,Table Tennis, ,Bicycle Riding,Board Games,Swimming Pool, ,Free Wifi, , ,Cctv camera,Children activities,Freetaxiservice, ,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom, , ,Showerchair,"Restaurant, Free Breakfast,  ,  , Table Tennis,  , Bicycle Riding, Board Games, Swimming Pool,  , Free Wifi,  ,  , Cctv camera, Children activities, Freetaxiservice,  , Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom,  ,  , Showerchair"
Radisson Hotel,Addis Ababa,5,"$12,450.00",Restaurant, , , ,Table Tennis, , , ,Swimming Pool,Free Cancellation,Free Wifi,Gym, ,Cctv camera,Children activities,Freetaxiservice,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom, , ,Showerchair,"Restaurant,  ,  ,  , Table Tennis,  ,  ,  , Swimming Pool, Free Cancellation, Free Wifi, Gym,  , Cctv camera, Children activities, Freetaxiservice, Atm onsite, Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom,  ,  , Showerchair"
Ethiopian Skylight,Addis Ababa,5,"$7,600.00",Restaurant,Free Breakfast,Pizza,Burger, ,Horseback Riding,Bicycle Riding,Board Games,Swimming Pool, ,Free Wifi,Gym, ,Cctv camera,Children activities,Freetaxiservice,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone,Refrigerator, ,"Restaurant, Free Breakfast, Pizza, Burger,  , Horseback Riding, Bicycle Riding, Board Games, Swimming Pool,  , Free Wifi, Gym,  , Cctv camera, Children activities, Freetaxiservice, Atm onsite, Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom, Telephone, Refrigerator,  "
Hyatt Hotel,Addis Ababa,5,"$1,300.00",Restaurant, , , , , , , ,Swimming Pool, ,Free Wifi, , ,Cctv camera,Children activities,Freetaxiservice,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom, ,Refrigerator, ,"Restaurant,  ,  ,  ,  ,  ,  ,  , Swimming Pool,  , Free Wifi,  ,  , Cctv camera, Children activities, Freetaxiservice, Atm onsite, Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom,  , Refrigerator,  "
Heyday Hotel,Addis Ababa,4,"$3,360.00",Restaurant,Free Breakfast, , , , , , ,Swimming Pool, ,Free Wifi, , ,Cctv camera,Children activities,Freetaxiservice,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone,Refrigerator,Showerchair,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  , Swimming Pool,  , Free Wifi,  ,  , Cctv camera, Children activities, Freetaxiservice, Atm onsite, Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom, Telephone, Refrigerator, Showerchair"
Intercontenantal Hotel,Addis Ababa,4,"$9,820.00",Restaurant,Free Breakfast, , , , , , ,Swimming Pool, ,Free Wifi,Gym, ,Cctv camera,Children activities,Freetaxiservice,Atm onsite,Laundryservice,Parkinglot,Television,Doublebed,Twinbed,Airconditioner,Bathroom,Telephone,Refrigerator, ,"Restaurant, Free Breakfast,  ,  ,  ,  ,  ,  , Swimming Pool,  , Free Wifi, Gym,  , Cctv camera, Children activities, Freetaxiservice, Atm onsite, Laundryservice, Parkinglot, Television, Doublebed, Twinbed, Airconditioner, Bathroom, Telephone, Refrigerator,  "
Awetu Grand Hotel,Jimma,4,"$1,300.00",Restaurant, , , , , , , , , ,Free Wifi, , , ,Children activities,Freetaxiservice, ,Laundryservice,Parkinglot, ,Doublebed, , ,Bathroom, , , ,"Restaurant,  ,  ,  ,  ,  ,  ,  ,  ,  , Free Wifi,  ,  ,  , Children activities, Freetaxiservice,  , Laundryservice, Parkinglot,  , Doublebed,  ,  , Bathroom,  ,  ,  "
